user_id,first_name,last_name,email,phone,address,registration_date,date_of_birth,account_balance
1,Matthew,Ramirez,matthew.ramirez@gmail.com,216-822-4877x669,"907 Estes Valleys Suite 922, Vangchester, SD 20760",2023-06-10,1974-05-23,6205.47
2,Jason,Meyer,jason.meyer@hotmail.com,+1-121-141-4540x3340,"73596 White Street, South Alexis, MT 46578",2023-05-04,1974-12-26,7049.56
3,Jessica,Griffith,jessica.griffith@yahoo.com,+1-186-932-5294x1802,"296 Nicholson Circles, Martinchester, MD 72500",2023-08-02,2005-07-01,6260.32
4,Scott,Torres,scott.torres@hotmail.com,+1-337-107-5094x74822,"4506 Jones Tunnel, South Annette, MO 46760",2023-09-03,2004-06-15,208.43
5,Lisa,Davis,lisa.davis@hotmail.com,001-955-341-1130x596,"83970 Joshua Valleys Apt. 815, East Kristenport, VT 71385",2024-05-17,1992-02-18,2019.82
6,Brooke,Lee,brooke.lee@yahoo.com,001-196-993-8634x693,"889 Duran Club Suite 490, Contrerasport, IA 05994",2024-12-30,2000-01-20,5700.16
7,Debbie,Ellis,debbie.ellis@yahoo.com,(529)536-5528,"3098 West Throughway Suite 596, Williamhaven, WY 28105",2023-07-09,2004-10-04,2567.6
8,Danielle,Russell,danielle.russell@yahoo.com,900-458-3160x4488,"470 Berger Crest Apt. 706, New Davidburgh, AR 60139",2023-06-04,1954-05-08,9147.08
9,Mary,Garcia,mary.garcia@gmail.com,624-508-2779x52165,"827 Spears Estate Apt. 978, Penastad, RI 10489",2023-08-29,1992-06-17,7889.48
10,Brandy,Stanley,brandy.stanley@hotmail.com,899.675.7378x902,"69927 Villa Circles, Charlesbury, NC 04279",2024-01-24,1960-12-15,6908.21
11,Jared,Barton,jared.barton@gmail.com,5092613346,"3440 Madeline Flats, Richardburgh, AL 82098",2023-11-05,2002-03-04,1081.06
12,Brandon,Adkins,brandon.adkins@yahoo.com,448.271.0562x870,"98395 Michael Turnpike, Kimberlychester, ID 09211",2023-08-18,1991-07-11,5710.28
13,Pamela,Williams,pamela.williams@yahoo.com,770-919-1425,"PSC 6747, Box 3213, APO AE 35401",2024-04-12,1954-04-22,7910.4
14,Nathaniel,Nichols,nathaniel.nichols@hotmail.com,475.760.0292,"2899 James Court Apt. 976, Kellyton, ND 93021",2024-04-11,1972-09-05,1827.3
15,Dana,Benson,dana.benson@yahoo.com,001-558-537-1561x73458,"USCGC Robinson, FPO AE 93333",2023-07-13,1980-09-11,1990.12
16,Carl,Mcdaniel,carl.mcdaniel@yahoo.com,964.444.0119x867,"65389 Lori Burg Suite 240, Lake David, WY 65607",2025-03-03,1968-05-04,4470.74
17,Stephanie,Lee,stephanie.lee@yahoo.com,(788)966-1497x28717,"USS Smith, FPO AP 73484",2023-09-01,1991-07-06,1371.14
18,Alexandra,Alvarado,alexandra.alvarado@gmail.com,(694)821-8100x308,"6617 Ryan Center Apt. 764, Port Debbie, VA 73139",2024-05-14,2004-07-15,4236.84
